"Bron/techniek";"Energietoepassingen";"Perioden";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2014";"    2007";"      65"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2015";"    2138";"      57"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2016";"    2374";"      78"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2017";"    2645";"      98"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2018";"    2905";"     118"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2019";"    3241";"     158"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2020";"    3590";"     201"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2021";"    3658";"     178"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2022";"    3865";"     187"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2023";"    4346";"     236"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2024**";"    4748";"     260"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2010";"     194";"      11"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2011";"     165";"       9"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2012";"     173";"      10"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2013";"     177";"      10"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2014";"     162";"       9"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2015";"     155";"       9"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2016";"     173";"      10"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2017";"     169";"      10"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2018";"     167";"       9"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2019";"     164";"       9"
